"","state","naics","emp"
"416","Kentucky","31",46480
"417","Kentucky","32",17540
"418","Kentucky","33",32820
"419","Kentucky","42",72160
"420","Kentucky","44",161450
"421","Kentucky","45",48130
"422","Kentucky","48",17820
"423","Kentucky","49",4290
"424","Kentucky","51",16870
"425","Kentucky","52",91820
"426","Kentucky","53",13430
"427","Kentucky","54",103440
"428","Kentucky","55",22680
"429","Kentucky","56",42360
"430","Kentucky","61",230910
"431","Kentucky","62",469870
"432","Kentucky","71",14310
"433","Kentucky","72",95330
"434","Kentucky","81",32620
"435","Kentucky","99",126510
"436","Louisiana","11",30
"437","Louisiana","21",13310
"438","Louisiana","22",4520
"439","Louisiana","23",33930
"440","Louisiana","31",28970
"441","Louisiana","32",26770
"442","Louisiana","33",12900
"443","Louisiana","42",71630
"444","Louisiana","44",171440
"445","Louisiana","45",48680
"446","Louisiana","48",13960
"447","Louisiana","49",2460
"448","Louisiana","51",12100
"449","Louisiana","52",74590
"450","Louisiana","53",21080
"451","Louisiana","54",101110
"452","Louisiana","55",16170
"453","Louisiana","56",34030
"454","Louisiana","61",222290
"455","Louisiana","62",467220
"456","Louisiana","71",12970
"457","Louisiana","72",79950
"458","Louisiana","81",21320
"459","Louisiana","99",97140
"460","Maine","11",390
"461","Maine","22",300
"462","Maine","23",8070
"463","Maine","31",10450
"464","Maine","32",3620
"465","Maine","33",4550
"466","Maine","42",19000
"467","Maine","44",54660
"468","Maine","45",18890
"469","Maine","48",2470
"470","Maine","49",840
"471","Maine","51",5260
"472","Maine","52",29410
"473","Maine","53",4170
"474","Maine","54",37190
"475","Maine","55",13200
"476","Maine","56",11600
"477","Maine","61",67920
"478","Maine","62",161670
"479","Maine","71",3320
"480","Maine","72",28760
"481","Maine","81",11710
"482","Maine","99",31110
"483","Maryland","22",2990
"484","Maryland","23",61850
"485","Maryland","31",31000
"486","Maryland","32",11530
"487","Maryland","33",20240
"488","Maryland","42",86490
"489","Maryland","44",193700
"490","Maryland","45",56970
"491","Maryland","48",12270
"492","Maryland","49",3850
"493","Maryland","51",30690
"494","Maryland","52",131370
"495","Maryland","53",36640
"496","Maryland","54",421700
"497","Maryland","55",39900
"498","Maryland","56",90160
"499","Maryland","61",357000
"500","Maryland","62",647720
"501","Maryland","71",33080
"502","Maryland","72",87170
"503","Maryland","81",70910
"504","Maryland","99",285330
"505","Massachusetts","21",120
"506","Massachusetts","22",7110
"507","Massachusetts","23",66660
"508","Massachusetts","31",82590
"509","Massachusetts","32",23230
"510","Massachusetts","33",82290
"511","Massachusetts","42",143830
"512","Massachusetts","44",298220
"513","Massachusetts","45",77770
"514","Massachusetts","48",22980
"515","Massachusetts","49",3520
"516","Massachusetts","51",111600
"517","Massachusetts","52",219560
"518","Massachusetts","53",38590
"519","Massachusetts","54",634380
"520","Massachusetts","55",93150
"521","Massachusetts","56",99670
"522","Massachusetts","61",607380
"523","Massachusetts","62",999990
"524","Massachusetts","71",38920
"525","Massachusetts","72",167240
"526","Massachusetts","81",113810
"527","Massachusetts","99",179900
"528","Michigan","11",340
"529","Michigan","21",970
"530","Michigan","22",24210
"531","Michigan","23",50360
"532","Michigan","31",138460
"533","Michigan","32",43870
"534","Michigan","33",169450
"535","Michigan","42",184700
"536","Michigan","44",371690
"537","Michigan","45",133490
"538","Michigan","48",40050
"539","Michigan","49",5620
"540","Michigan","51",47570
"541","Michigan","52",222790
"542","Michigan","53",35480
"543","Michigan","54",470910
"544","Michigan","55",80790
"545","Michigan","56",121780
"546","Michigan","61",482660
"547","Michigan","62",1072300
"548","Michigan","71",29630
"549","Michigan","72",194250
"550","Michigan","81",107420
"551","Michigan","99",207750
"552","Minnesota","11",70
"553","Minnesota","21",990
"554","Minnesota","22",7000
"555","Minnesota","23",43660
"556","Minnesota","31",81240
"557","Minnesota","32",30380
"558","Minnesota","33",80760
"559","Minnesota","42",135900
"560","Minnesota","44",236300
"561","Minnesota","45",83450
"562","Minnesota","48",28830
"563","Minnesota","49",3930
"564","Minnesota","51",41430
"565","Minnesota","52",186260
"566","Minnesota","53",26630
"567","Minnesota","54",245440
"568","Minnesota","55",123480
"569","Minnesota","56",52930
"570","Minnesota","61",348710
"571","Minnesota","62",709540
"572","Minnesota","71",31780
"573","Minnesota","72",130740
"574","Minnesota","81",79990
"575","Minnesota","99",150230
"576","Mississippi","11",270
"577","Mississippi","21",680
"578","Mississippi","22",3600
"579","Mississippi","23",12290
"580","Mississippi","31",21940
"581","Mississippi","32",7000
"582","Mississippi","33",11730
"583","Mississippi","42",28960
"584","Mississippi","44",106790
"585","Mississippi","45",33970
"586","Mississippi","48",6740
"587","Mississippi","49",2180
"588","Mississippi","51",5850
"589","Mississippi","52",45040
"590","Mississippi","53",9580
"591","Mississippi","54",37300
"592","Mississippi","55",11970
"593","Mississippi","56",16440
"594","Mississippi","61",157680
"595","Mississippi","62",287110
"596","Mississippi","71",5420
"597","Mississippi","72",55980
"598","Mississippi","81",10660
"599","Mississippi","99",84740
"600","Missouri","11",470
"601","Missouri","21",290
"602","Missouri","22",4480
"603","Missouri","23",36800
"604","Missouri","31",58460
"605","Missouri","32",21700
"606","Missouri","33",44960
"607","Missouri","42",116730
"608","Missouri","44",222290
"609","Missouri","45",84290
"610","Missouri","48",19130
"611","Missouri","49",4020
"612","Missouri","51",33670
"613","Missouri","52",180160
"614","Missouri","53",30870
"615","Missouri","54",231020
"616","Missouri","55",83400
"617","Missouri","56",71120
"618","Missouri","61",379070
"619","Missouri","62",684480
"620","Missouri","71",31350
"621","Missouri","72",148480
"622","Missouri","81",57180
"623","Missouri","99",168300
"624","Montana","21",1080
"625","Montana","22",960
"626","Montana","23",5910
"627","Montana","31",4400
"628","Montana","32",1540
"629","Montana","33",1230
"630","Montana","42",17020
"631","Montana","44",39080
"632","Montana","45",14680
"633","Montana","48",2130
"634","Montana","49",520
"635","Montana","51",5310
"636","Montana","52",20130
"637","Montana","53",4640
"638","Montana","54",33520
"639","Montana","55",1860
"640","Montana","56",7380
"641","Montana","61",56700
"642","Montana","62",110500
"643","Montana","71",4680
"644","Montana","72",25760
"645","Montana","81",12710
"646","Montana","99",34300
"647","Nebraska","11",150
"648","Nebraska","21",30
"649","Nebraska","22",120
"650","Nebraska","23",16710
"651","Nebraska","31",19290
"652","Nebraska","32",4990
"653","Nebraska","33",9500
"654","Nebraska","42",37910
"655","Nebraska","44",79490
"656","Nebraska","45",27300
"657","Nebraska","48",9380
"658","Nebraska","49",1360
"659","Nebraska","51",13830
"660","Nebraska","52",73270
"661","Nebraska","53",7320
"662","Nebraska","54",57960
"663","Nebraska","55",25530
"664","Nebraska","56",28110
"665","Nebraska","61",125640
"666","Nebraska","62",230430
"667","Nebraska","71",8430
"668","Nebraska","72",35780
"669","Nebraska","81",19430
"670","Nebraska","99",54290
"671","Nevada","21",4430
"672","Nevada","22",1790
"673","Nevada","23",29270
"674","Nevada","31",10880
"675","Nevada","32",2730
"676","Nevada","33",7520
"677","Nevada","42",34250
"678","Nevada","44",129570
"679","Nevada","45",35430
"680","Nevada","48",17550
"681","Nevada","49",1820
"682","Nevada","51",8370
"683","Nevada","52",53930
"684","Nevada","53",19400
"685","Nevada","54",74000
"686","Nevada","55",27750
"687","Nevada","56",27630
"688","Nevada","61",103020
"689","Nevada","62",215180
"690","Nevada","71",13600
"691","Nevada","72",151840
"692","Nevada","81",21780
"693","Nevada","99",62700
"694","New Hampshire","21",30
"695","New Hampshire","22",320
"696","New Hampshire","23",9470
"697","New Hampshire","31",18400
"698","New Hampshire","32",3410
"699","New Hampshire","33",21200
"700","New Hampshire","42",32890
"701","New Hampshire","44",71130
"702","New Hampshire","45",20860
"703","New Hampshire","48",2050
"704","New Hampshire","49",670
"705","New Hampshire","51",9460
"706","New Hampshire","52",31620
"707","New Hampshire","53",3300
"708","New Hampshire","54",54250
"709","New Hampshire","55",10290
"710","New Hampshire","56",17050
"711","New Hampshire","61",91280
"712","New Hampshire","62",158350
"713","New Hampshire","71",5990
"714","New Hampshire","72",32800
"715","New Hampshire","81",14320
"716","New Hampshire","99",26810
"717","New Jersey","21",120
"718","New Jersey","22",5490
"719","New Jersey","23",49820
"720","New Jersey","31",67460
"721","New Jersey","32",44670
"722","New Jersey","33",42690
"723","New Jersey","42",201560
"724","New Jersey","44",358780
"725","New Jersey","45",94460
"726","New Jersey","48",32380
"727","New Jersey","49",7210
"728","New Jersey","51",63070
"729","New Jersey","52",225570
"730","New Jersey","53",34060
"731","New Jersey","54",447050
"732","New Jersey","55",115410
"733","New Jersey","56",122930
"734","New Jersey","61",610860
"735","New Jersey","62",1008870
"736","New Jersey","71",53570
"737","New Jersey","72",103660
"738","New Jersey","81",118430
"739","New Jersey","99",189220
"740","New Mexico","21",4390
"741","New Mexico","22",1730
"742","New Mexico","23",11910
"743","New Mexico","31",6850
"744","New Mexico","32",1140
"745","New Mexico","33",3080
"746","New Mexico","42",19890
"747","New Mexico","44",65510
"748","New Mexico","45",25390
"749","New Mexico","48",2610
"750","New Mexico","49",580
"751","New Mexico","51",6970
"752","New Mexico","52",29870
"753","New Mexico","53",6770
"754","New Mexico","54",79280
"755","New Mexico","55",4230
"756","New Mexico","56",18250
"757","New Mexico","61",86270
"758","New Mexico","62",173540
"759","New Mexico","71",5520
"760","New Mexico","72",45270
"761","New Mexico","81",11080
"762","New Mexico","99",73790
"763","New York","11",300
"764","New York","21",700
"765","New York","22",25200
"766","New York","23",123050
"767","New York","31",129990
"768","New York","32",46280
"769","New York","33",104750
"770","New York","42",417500
"771","New York","44",866630
"772","New York","45",199160
"773","New York","48",99180
"774","New York","49",10470
"775","New York","51",340940
"776","New York","52",643680
"777","New York","53",86290
"778","New York","54",1089030
"779","New York","55",209520
"780","New York","56",331900
